\$1N14254\  \R405\-\1\ \IC33\-\AP5\ 
\VHDCI2_21_N\  \IC33\-\AE30\ 
\VHDCI2_21_P\  \IC33\-\AD29\ 
\VHDCI2_22_N\  \IC33\-\AG32\ 
\VHDCI2_22_P\  \IC33\-\AG31\ 
\VHDCI2_23_N\  \IC33\-\AB32\ 
\VHDCI2_23_P\  \IC33\-\AA32\ 
\VHDCI2_24_N\  \IC33\-\AA23\ 
\VHDCI2_24_P\  \IC33\-\Y23\ 
\VHDCI2_25_N\  \IC33\-\AF28\ 
\VHDCI2_25_P\  \IC33\-\AE28\ 
\VHDCI2_26_N\  \IC33\-\AD34\ 
\VHDCI2_26_P\  \IC33\-\AC34\ 
\VHDCI2_27_N\  \IC33\-\AG29\ 
\VHDCI2_27_P\  \IC33\-\AF29\ 
\VHDCI2_28_N\  \IC33\-\AB27\ 
\VHDCI2_28_P\  \IC33\-\AA27\ 
\VHDCI2_29_N\  \IC33\-\AC27\ 
\VHDCI2_29_P\  \IC33\-\AC26\ 
\VHDCI2_2_N\  \IC33\-\U25\ 
\VHDCI2_2_P\  \IC33\-\U24\ 
\VHDCI2_30_N\  \IC33\-\AF27\ 
\VHDCI2_30_P\  \IC33\-\AE27\ 
\VHDCI2_31_N\  \IC33\-\AG34\ 
\VHDCI2_31_P\  \IC33\-\AF33\ 
\VHDCI2_32_N\  \IC33\-\AC32\ 
\VHDCI2_32_P\  \IC33\-\AC31\ 
\VHDCI2_3_N\  \IC33\-\W29\ 
\VHDCI2_3_P\  \IC33\-\V29\ 
\VHDCI2_4_N\  \IC33\-\V28\ 
\VHDCI2_4_P\  \IC33\-\V27\ 
\VHDCI2_5_N\  \IC33\-\AD31\ 
\VHDCI2_5_P\  \IC33\-\AD30\ 
\VHDCI2_6_N\  \IC33\-\AG30\ 
\VHDCI2_6_P\  \IC33\-\AF30\ 
\VHDCI2_7_N\  \IC33\-\Y28\ 
\VHDCI2_7_P\  \IC33\-\W28\ 
\VHDCI2_8_N\  \IC33\-\W24\ 
\VHDCI2_8_P\  \IC33\-\W23\ 
\VHDCI2_9_N\  \IC33\-\AB29\ 
\VHDCI2_9_P\  \IC33\-\AA29\ 
\VRP_44\  \R187\-\2\ \IC33\-\AD24\ 
\VRP_45\  \R188\-\2\ \IC33\-\AP19\ 
\VRP_46\  \IC33\-\AG26\ \R189\-\2\ 
\VRP_47\  \IC33\-\A17\ \R213\-\2\ 
\VRP_48\  \R212\-\2\ \IC33\-\A8\ 
\VRP_68\  \R253\-\2\ \IC33\-\AA28\ 
\VTT64\  \R207\-\1\ \R208\-\1\ \R198\-\1\ \R209\-\1\ \R204\-\1\ \R203\-\1\ 
*  \R202\-\1\ \R205\-\1\ \R206\-\1\ \R210\-\1\ \R211\-\1\ \R201\-\1\ 
*  \R199\-\1\ \R200\-\1\ 
\Vbias_0.9V\  \R216\-\1\ \$6I8142\-\1\ \R217\-\1\ \R219\-\2\ \R214\-\1\ \R218\-\2\ 
*  \R223\-\1\ \R226\-\1\ \R245\-\1\ \R234\-\1\ \R240\-\1\ \R215\-\1\ 
*  \R251\-\1\ \R220\-\1\ \$3I11069\-\1\ \R229\-\1\ \C195\-\1\ \R228\-\1\ 
*  \R233\-\1\ \R221\-\1\ \R239\-\1\ \R222\-\1\ \R235\-\1\ \R231\-\1\ 
*  \R237\-\1\ \R242\-\1\ \R255\-\1\ \R248\-\1\ \R230\-\1\ \R236\-\1\ 
*  \R238\-\1\ \R243\-\1\ \R254\-\1\ \R241\-\1\ \R224\-\1\ \R227\-\1\ 
*  \R244\-\1\ \R225\-\1\ \R246\-\1\ \$3I11070\-\1\ \$3I11127\-\1\ \$6I8143\-\1\ 
*  \$3I11151\-\1\ \R252\-\1\ \R247\-\1\ \R249\-\1\ \R250\-\1\ 
\WR_I2C_CTRL\  \IC33\-\AK12\ 
\WR_REF_CLK_N\  \IC33\-\Y25\ \$6I8143\-\2\ 
\WR_REF_CLK_P\  \IC33\-\W25\ \$6I8142\-\2\ 

